PassengerId,Survived
1,0
773,0
774,0
776,0
777,0
779,0
783,0
784,0
785,0
786,0
788,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
799,0
800,0
801,0
806,0
807,0
808,0
809,0
811,0
812,0
813,0
772,0
771,0
770,0
769,0
724,0
726,0
729,0
730,0
732,0
733,0
734,0
735,0
736,0
737,0
739,0
740,0
742,0
814,0
744,0
747,0
749,0
750,0
753,0
754,0
757,0
758,0
759,0
761,0
762,0
765,0
767,0
768,0
746,0
815,0
816,0
817,0
873,0
874,0
877,0
878,0
879,0
882,0
883,0
884,0
885,0
886,0
887,0
889,0
891,0
871,0
892,0
896,0
897,0
898,0
901,0
902,0
903,0
905,0
907,0
908,0
909,0
910,0
911,0
912,0
894,0
723,0
869,0
865,0
818,0
819,0
820,0
823,0
825,0
826,0
827,0
833,0
834,0
835,0
837,0
838,0
841,0
868,0
842,0
845,0
846,0
847,0
848,0
849,0
851,0
852,0
853,0
855,0
860,0
861,0
862,0
864,0
844,0
913,0
722,0
719,0
568,0
569,0
575,0
576,0
579,0
583,0
584,0
585,0
587,0
589,0
590,0
591,0
593,0
594,0
595,0
596,0
598,0
599,0
602,0
603,0
604,0
606,0
607,0
611,0
612,0
614,0
615,0
567,0
566,0
565,0
564,0
515,0
516,0
518,0
520,0
522,0
523,0
525,0
526,0
528,0
529,0
530,0
532,0
533,0
617,0
535,0
539,0
542,0
543,0
545,0
546,0
549,0
552,0
553,0
556,0
558,0
561,0
562,0
563,0
537,0
618,0
620,0
621,0
672,0
673,0
675,0
676,0
677,0
679,0
681,0
683,0
684,0
685,0
686,0
687,0
688,0
669,0
689,0
695,0
696,0
697,0
699,0
700,0
703,0
704,0
705,0
706,0
712,0
714,0
715,0
716,0
694,0
720,0
668,0
666,0
624,0
625,0
626,0
627,0
629,0
630,0
632,0
634,0
635,0
637,0
638,0
639,0
640,0
667,0
641,0
647,0
649,0
651,0
653,0
1308,0
656,0
657,0
658,0
659,0
660,0
662,0
663,0
664,0
643,0
915,0
917,0
919,0
1170,0
1173,0
1176,0
1177,0
1178,0
1179,0
1180,0
1182,0
1183,0
1184,0
1185,0
1186,0
1187,0
1189,0
1190,0
1191,0
1192,0
1193,0
1195,0
1197,0
1198,0
1199,0
1200,0
1202,0
1203,0
1204,0
1206,0
1169,0
1168,0
1165,0
1163,0
1124,0
1125,0
1126,0
1128,0
1129,0
1132,0
1134,0
1135,0
1136,0
1137,0
1138,0
1142,0
1143,0
1208,0
1144,0
1147,0
1148,0
1149,0
1151,0
1152,0
1153,0
1155,0
1156,0
1157,0
1158,0
1159,0
1161,0
1162,0
1145,0
1210,0
1211,0
1212,0
1261,0
1262,0
1264,0
1265,0
1269,0
1270,0
1271,0
1273,0
1276,0
1278,0
1279,0
1280,0
1281,0
1258,0
1282,0
1285,0
1286,0
1288,0
1290,0
1291,0
1293,0
1295,0
1296,0
1297,0
1299,0
1301,0
1305,0
1307,0
1284,0
1123,0
1255,0
1252,0
1213,0
1215,0
1217,0
1218,0
1219,0
1220,0
1221,0
1223,0
1224,0
1226,0
1227,0
1228,0
1229,0
1254,0
1230,0
1233,0
1234,0
1235,0
1236,0
1238,0
1240,0
1242,0
1243,0
1244,0
1245,0
1247,0
1249,0
1250,0
1231,0
1122,0
1121,0
1120,0
973,0
974,0
975,0
976,0
977,0
978,0
979,0
981,0
985,0
986,0
989,0
990,0
991,0
972,0
993,0
995,0
996,0
997,0
998,0
1000,0
1001,0
1002,0
1008,0
1010,0
1013,0
1014,0
1015,0
1016,0
994,0
1018,0
970,0
967,0
920,0
921,0
922,0
926,0
930,0
931,0
932,0
933,0
934,0
936,0
937,0
938,0
939,0
968,0
942,0
944,0
946,0
947,0
948,0
949,0
950,0
952,0
953,0
954,0
955,0
956,0
959,0
963,0
943,0
512,0
1020,0
1022,0
1073,0
1074,0
1075,0
1077,0
1079,0
1081,0
1082,0
1083,0
1084,0
1085,0
1088,0
1090,0
1093,0
1072,0
1094,0
1097,0
1099,0
1101,0
1102,0
1103,0
1104,0
1106,0
1107,0
1109,0
1110,0
1111,0
1113,0
1118,0
1096,0
1021,0
1068,0
1065,0
1023,0
1025,0
1026,0
1027,0
1029,0
1031,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,0
1041,0
1066,0
1043,0
1046,0
1047,0
1048,0
1050,0
1052,0
1053,0
1055,0
1056,0
1057,0
1060,0
1062,0
1063,0
1064,0
1044,0
509,0
655,0
1309,0
125,0
123,0
122,0
121,0
120,0
332,0
333,0
334,0
119,0
327,0
336,0
118,0
117,0
116,0
340,0
115,0
114,0
343,0
113,0
344,0
337,0
345,0
127,0
322,0
298,0
144,0
303,0
141,0
305,0
140,0
139,0
138,0
309,0
325,0
136,0
133,0
132,0
131,0
313,0
130,0
314,0
315,0
318,0
321,0
135,0
297,0
112,0
109,0
94,0
372,0
373,0
374,0
375,0
93,0
92,0
91,0
378,0
95,0
379,0
90,0
383,0
88,0
87,0
385,0
386,0
387,0
84,0
81,0
380,0
111,0
96,0
366,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
106,0
105,0
97,0
358,0
103,0
203,0
361,0
101,0
100,0
362,0
363,0
364,0
365,0
104,0
145,0
296,0
295,0
232,0
233,0
235,0
236,0
183,0
237,0
239,0
182,0
181,0
230,0
240,0
180,0
243,0
179,0
244,0
245,0
246,0
247,0
178,0
177,0
241,0
176,0
229,0
186,0
204,0
201,0
206,0
207,0
200,0
211,0
198,0
197,0
213,0
228,0
214,0
218,0
220,0
222,0
223,0
224,0
192,0
190,0
189,0
226,0
215,0
175,0
174,0
250,0
277,0
278,0
279,0
281,0
282,0
156,0
283,0
155,0
154,0
158,0
285,0
153,0
288,0
151,0
150,0
149,0
148,0
146,0
293,0
294,0
286,0
274,0
159,0
160,0
251,0
252,0
253,0
254,0
255,0
172,0
171,0
170,0
169,0
261,0
168,0
263,0
264,0
265,0
266,0
165,0
267,0
164,0
163,0
271,0
161,0
389,0
78,0
102,0
453,0
35,0
34,0
452,0
77,0
455,0
31,0
457,0
451,0
30,0
462,0
463,0
464,0
465,0
466,0
28,0
467,0
460,0
468,0
36,0
39,0
52,0
51,0
50,0
434,0
49,0
435,0
47,0
38,0
437,0
439,0
440,0
442,0
443,0
43,0
42,0
41,0
46,0
469,0
27,0
471,0
493,0
8,0
494,0
495,0
7,0
496,0
6,0
492,0
498,0
500,0
5,0
501,0
502,0
503,0
504,0
506,0
499,0
491,0
489,0
488,0
472,0
25,0
475,0
476,0
477,0
478,0
479,0
21,0
481,0
482,0
19,0
483,0
17,0
15,0
14,0
486,0
13,0
429,0
55,0
202,0
73,0
424,0
403,0
397,0
393,0
423,0
402,0
399,0
396,0
409,0
64,0
422,0
421,0
420,0
411,0
70,0
74,0
412,0
419,0
410,0
404,0
398,0
65,0
76,0
60,0
61,0
405,0
425,0
406,0
407,0
68,0
63,0
426,0
414,0
58,0
71,0
416,0
72,0
1283,1
1175,1
1289,1
1287,1
1174,1
11,1
12,1
1042,1
1172,1
167,1
22,1
1054,1
1274,1
1275,1
1166,1
1051,1
1167,1
1049,1
69,1
173,1
1045,1
1277,1
20,1
1201,1
1171,1
18,1
1040,1
1039,1
16,1
10,1
56,1
1292,1
195,1
196,1
1012,1
1300,1
80,1
1011,1
4,1
1009,1
1302,1
1007,1
1303,1
1006,1
1005,1
1004,1
1003,1
199,1
1188,1
1304,1
3,1
1306,1
2,1
82,1
1032,1
194,1
83,1
9,1
89,1
1030,1
1294,1
1272,1
184,1
1028,1
1196,1
86,1
185,1
187,1
1024,1
188,1
1181,1
1194,1
191,1
1019,1
1298,1
85,1
75,1
1017,1
193,1
23,1
162,1
166,1
1116,1
44,1
1115,1
1114,1
1112,1
1237,1
108,1
1239,1
1108,1
1117,1
134,1
1105,1
40,1
137,1
107,1
1150,1
37,1
1100,1
1246,1
1214,1
1241,1
1098,1
45,1
1119,1
1139,1
1222,1
54,1
1140,1
1133,1
53,1
1225,1
1141,1
59,1
129,1
1131,1
1216,1
1127,1
48,1
124,1
110,1
126,1
1232,1
1146,1
128,1
1130,1
142,1
1248,1
1095,1
29,1
66,1
1071,1
1070,1
1069,1
1160,1
1205,1
98,1
1067,1
157,1
1263,1
1266,1
57,1
1267,1
1268,1
1061,1
67,1
1059,1
1058,1
1164,1
26,1
99,1
1260,1
1207,1
143,1
62,1
1092,1
1091,1
1251,1
33,1
1154,1
1089,1
1253,1
32,1
1087,1
1086,1
147,1
1209,1
1256,1
1257,1
1080,1
152,1
1078,1
1259,1
1076,1
24,1
79,1
510,1
205,1
415,1
413,1
670,1
671,1
674,1
408,1
678,1
680,1
682,1
401,1
400,1
690,1
691,1
692,1
693,1
665,1
395,1
417,1
661,1
636,1
433,1
432,1
431,1
430,1
642,1
644,1
645,1
646,1
428,1
648,1
427,1
650,1
652,1
654,1
418,1
394,1
698,1
392,1
377,1
376,1
731,1
371,1
370,1
738,1
369,1
368,1
741,1
367,1
743,1
745,1
748,1
751,1
752,1
728,1
727,1
725,1
381,1
701,1
702,1
391,1
390,1
388,1
707,1
708,1
436,1
709,1
711,1
713,1
384,1
717,1
718,1
382,1
721,1
710,1
633,1
631,1
438,1
547,1
548,1
550,1
551,1
485,1
484,1
554,1
555,1
557,1
559,1
560,1
480,1
474,1
473,1
570,1
487,1
544,1
490,1
541,1
511,1
507,1
513,1
514,1
505,1
517,1
519,1
571,1
521,1
527,1
497,1
531,1
534,1
536,1
538,1
540,1
524,1
360,1
572,1
574,1
610,1
450,1
613,1
449,1
448,1
616,1
447,1
446,1
619,1
445,1
444,1
622,1
623,1
441,1
628,1
609,1
608,1
605,1
454,1
577,1
578,1
470,1
580,1
581,1
582,1
586,1
573,1
588,1
461,1
459,1
597,1
458,1
600,1
601,1
456,1
592,1
755,1
756,1
359,1
906,1
262,1
508,1
259,1
258,1
257,1
256,1
914,1
916,1
918,1
923,1
924,1
925,1
249,1
927,1
904,1
900,1
899,1
268,1
284,1
875,1
876,1
280,1
880,1
881,1
276,1
928,1
275,1
273,1
890,1
272,1
893,1
270,1
895,1
269,1
888,1
872,1
929,1
935,1
221,1
219,1
217,1
216,1
980,1
982,1
983,1
984,1
212,1
987,1
988,1
210,1
209,1
208,1
992,1
971,1
969,1
966,1
965,1
242,1
940,1
941,1
238,1
945,1
234,1
951,1
248,1
231,1
957,1
958,1
960,1
961,1
962,1
225,1
964,1
227,1
999,1
870,1
867,1
335,1
331,1
797,1
798,1
330,1
329,1
328,1
802,1
803,1
804,1
805,1
326,1
324,1
810,1
323,1
789,1
338,1
787,1
339,1
357,1
760,1
763,1
764,1
766,1
349,1
348,1
320,1
347,1
775,1
778,1
780,1
781,1
782,1
342,1
341,1
346,1
287,1
319,1
316,1
301,1
300,1
299,1
850,1
854,1
856,1
857,1
858,1
859,1
292,1
291,1
290,1
863,1
289,1
866,1
302,1
843,1
304,1
840,1
821,1
822,1
824,1
312,1
311,1
310,1
828,1
317,1
829,1
831,1
832,1
308,1
307,1
836,1
306,1
839,1
830,1
260,1
